epoch,lr_g,lr_d,g,d,con,lat,freq,Acc,F1,AUC
1,0.0002,5e-05,17.52122402191162,1.3592491722106934,0.3420621830224991,0.3705632257461548,0.09510328769683837,0.6858362788951797,0.7305891978164942,0.8195573232630335
2,0.0002,5e-05,9.052654342651367,1.330466752052307,0.17792583882808685,0.13519688993692397,0.04233087837696076,,,
3,0.0002,5e-05,6.574995594024658,1.3234369611740113,0.12920156806707384,0.09889445602893829,0.03204558700323105,,,
4,0.0002,5e-05,5.335655136108398,1.3091530227661132,0.1045399197936058,0.0952174150943756,0.02688330978155136,,,
5,0.0002,5e-05,4.658660659790039,1.2916774940490723,0.09086314886808396,0.10326783984899521,0.02447082631289959,0.6756076198817604,0.7081240061355737,0.8336579851929261
6,0.0002,5e-05,4.22204402923584,1.2739879417419433,0.08197245359420777,0.11177858322858811,0.023285422846674918,,,
7,0.0002,5e-05,3.89644416809082,1.2563340616226197,0.0753128907084465,0.11967559546232223,0.02224811039865017,,,
8,0.0002,5e-05,3.657003755569458,1.2429774045944213,0.07043356001377106,0.12454718679189682,0.02155715972185135,,,
9,0.0002,5e-05,3.4442618560791014,1.2315711736679078,0.06615199148654938,0.126183842420578,0.020956835597753524,,,
10,0.0002,5e-05,3.323848457336426,1.2233373594284058,0.06369331255555152,0.12877165168523788,0.020822396650910378,0.6934061121711658,0.7275620535342024,0.8367928232262668
11,0.0002,5e-05,3.1487818431854246,1.213494095802307,0.06019274160265922,0.12908181101083754,0.020125948637723923,,,
12,0.0002,5e-05,3.0633201503753664,1.2069153594970703,0.05845696717500687,0.1304068922996521,0.02012978568673134,,,
13,0.0002,5e-05,2.968227643966675,1.2014292621612548,0.05654122322797775,0.13125907838344575,0.019814872890710832,,,
14,0.0002,5e-05,2.880659065246582,1.1935163021087647,0.054796243607997897,0.13111062228679657,0.019472470581531523,,,
15,0.0002,5e-05,2.8165803813934325,1.1884075498580933,0.05351122960448265,0.13131253093481063,0.019412744864821432,0.6916309549876443,0.7249276272191413,0.8488191461079639
16,0.0001866666666666667,4.666666666666667e-05,2.6632703495025636,1.18102144241333,0.05048468247056007,0.12990047454833983,0.018271522298455238,,,
17,0.00017333333333333334,4.3333333333333334e-05,2.564040813446045,1.1728753900527955,0.04849035978317261,0.1306840142607689,0.017677563726902008,,,
18,0.00016,4e-05,2.480718870162964,1.1676240253448487,0.04683911293745041,0.13024227678775788,0.01704191505908966,,,
19,0.0001466666666666667,3.666666666666667e-05,2.4146718788146972,1.1603998947143555,0.04550434127449989,0.1311021089553833,0.016705360785126685,,,
20,0.00013333333333333337,3.333333333333334e-05,2.3642427062988283,1.154219994544983,0.04447609320282936,0.13222596645355225,0.016424176320433616,0.7118145703650411,0.7516878916515058,0.8498734881469875
21,0.00012,3e-05,2.3239959716796874,1.1480312299728395,0.043657815158367155,0.1330353581905365,0.016139675974845887,,,
22,0.00010666666666666667,2.6666666666666667e-05,2.292137928009033,1.143136215209961,0.04300103768706322,0.1341146045923233,0.015942815840244293,,,
23,9.333333333333334e-05,2.3333333333333336e-05,2.2646186923980713,1.1381949377059937,0.042428958714008334,0.1352945625782013,0.01575247637927532,,,
24,8e-05,2e-05,2.235269250869751,1.1327295780181885,0.041826156377792356,0.13616321623325348,0.015596435330808163,,,
25,6.666666666666668e-05,1.666666666666667e-05,2.2200338649749756,1.1296189212799073,0.04149900898337364,0.13735077559947967,0.015465183407068253,0.7153023241264975,0.7542692063663485,0.8520175931516871
26,5.333333333333335e-05,1.3333333333333337e-05,2.197584047317505,1.1261052942276002,0.041044746190309525,0.13767704546451567,0.015339408591389657,,,
27,3.999999999999999e-05,9.999999999999997e-06,2.184978656768799,1.123645339012146,0.04077697560191154,0.13851090729236604,0.015237868838012219,,,
28,2.6666666666666663e-05,6.666666666666666e-06,2.1710978317260743,1.1217726469039917,0.04049822017550468,0.13860660970211028,0.015160401500761509,,,
29,1.3333333333333332e-05,3.333333333333333e-06,2.162753505706787,1.1205203485488893,0.04032170832157135,0.13911160051822663,0.015113052949309348,,,
30,0.0,0.0,2.160463800430298,1.1189954996109008,0.040273366570472716,0.13925344228744507,0.015084129609167576,0.7167021176764992,0.7556802471050804,0.852088175458146
