epoch,lr_g,lr_d,g,d,con,lat,freq,Acc,F1,AUC
1,0.0002,5e-05,18.23859836578369,1.3603640842437743,0.3419646233320236,0.36916558027267454,0.10102017909288406,0.6833182145203166,0.7252906779546041,0.769547786610423
2,0.0002,5e-05,9.744796104431153,1.3351846075057983,0.17729671478271483,0.13049886524677276,0.0471007189154625,,,
3,0.0002,5e-05,7.26151927947998,1.3324100828170777,0.12856255888938903,0.09243417531251907,0.03593995735049248,,,
4,0.0002,5e-05,6.061407413482666,1.3242527723312378,0.10466991424560547,0.08553639501333236,0.03070950210094452,,,
5,0.0002,5e-05,5.364147968292237,1.3149457740783692,0.09062011986970901,0.08641393274068833,0.027867566123604776,0.6759047827582971,0.7258777151625789,0.7861667579352396
6,0.0002,5e-05,4.937417507171631,1.3049046182632447,0.08191497594118119,0.09062517315149307,0.026318656802177428,,,
7,0.0002,5e-05,4.618702220916748,1.2971008586883546,0.07538874298334122,0.09433886677026748,0.02512959808111191,,,
8,0.0002,5e-05,4.346542510986328,1.2908815956115722,0.06985234022140503,0.09539425224065781,0.023782658874988555,,,
9,0.0002,5e-05,4.188885307312011,1.2869571495056151,0.06663386791944503,0.09750343561172485,0.023297208771109582,,,
10,0.0002,5e-05,4.025610160827637,1.2848711585998536,0.06329864040017127,0.0990269610285759,0.022521035671234133,0.6901529606806593,0.7301137524691779,0.8188771714732033
11,0.0002,5e-05,3.929713306427002,1.2812513971328736,0.06130126491189003,0.10170661389827729,0.0222009988874197,,,
12,0.0002,5e-05,3.8313598823547363,1.2791411399841308,0.059289479553699495,0.103864865899086,0.02180952571332455,,,
13,0.0002,5e-05,3.6997575855255125,1.2765042877197266,0.05659004062414169,0.10444987297058106,0.020907807722687723,,,
14,0.0002,5e-05,3.6447926330566407,1.2742571783065797,0.05543982580304146,0.10538077384233474,0.020741503834724426,,,
15,0.0002,5e-05,3.580657949447632,1.26979745388031,0.05407233789563179,0.10673998236656189,0.020532677248120308,0.7095623885639213,0.7552359988928284,0.8598265699726513
16,0.0001866666666666667,4.666666666666667e-05,3.4373495960235596,1.2631956338882446,0.05112300276756287,0.1081499457359314,0.019298076555132868,,,
17,0.00017333333333333334,4.3333333333333334e-05,3.3454443645477294,1.2581166219711304,0.04916286364197731,0.11005922645330429,0.018566807061433793,,,
18,0.00016,4e-05,3.2684812545776367,1.2523744821548461,0.04753062605857849,0.11202568501234055,0.01788116790354252,,,
19,0.0001466666666666667,3.666666666666667e-05,3.206911573410034,1.2468870210647582,0.04618825748562813,0.1144540748000145,0.017426047846674918,,,
20,0.00013333333333333337,3.333333333333334e-05,3.164165620803833,1.241610713005066,0.045205965787172314,0.11768892735242843,0.017088478505611418,0.7071068847946448,0.7468297958631878,0.8304834945293063
21,0.00012,3e-05,3.1287514400482177,1.236950273513794,0.04440349698066712,0.12003489643335342,0.016767553240060806,,,
22,0.00010666666666666667,2.6666666666666667e-05,3.102047910690308,1.2318765020370483,0.04374932438135147,0.12288297951221466,0.016546998769044877,,,
23,9.333333333333334e-05,2.3333333333333336e-05,3.0796213054656985,1.2276804971694946,0.043198755234479906,0.1254528370499611,0.01633857861161232,,,
24,8e-05,2e-05,3.0538755321502684,1.2233060359954835,0.04260147362947464,0.1271975702047348,0.016138386130332947,,,
25,6.666666666666668e-05,1.666666666666667e-05,3.041566724777222,1.2204793643951417,0.04229030162096024,0.12928313225507737,0.016004121527075768,0.7132378241421377,0.7533894657556356,0.8317689101530719
26,5.333333333333335e-05,1.3333333333333337e-05,3.0226543807983397,1.2177626657485963,0.04185231804847717,0.13057781457901002,0.01585694670677185,,,
27,3.999999999999999e-05,9.999999999999997e-06,3.0115824794769286,1.2156133079528808,0.04159001469612122,0.1318669557571411,0.01575516503304243,,,
28,2.6666666666666663e-05,6.666666666666666e-06,2.9994660377502442,1.2141830730438232,0.041321565508842466,0.13249890387058258,0.01566871304064989,,,
29,1.3333333333333332e-05,3.333333333333333e-06,2.991673402786255,1.2133251333236694,0.04114384427666664,0.13320211172103882,0.01560883279889822,,,
30,0.0,0.0,2.989347438812256,1.2126180982589723,0.041093494445085525,0.13318631649017335,0.015579631552100182,0.7161781726047108,0.7558918482647295,0.836841167877139
