epoch,lr_g,lr_d,g,d,con,lat,freq,Acc,F1,AUC
1,0.0002,5e-05,17.90261787414551,1.3592420816421509,0.34166589736938474,0.38739449083805083,0.09494579434394837,0.6848587694328881,0.7266808190283703,0.7784342899858873
2,0.0002,5e-05,9.664339027404786,1.3282910251617432,0.17777589082717896,0.14395688861608505,0.042630312591791154,,,
3,0.0002,5e-05,7.176200656890869,1.3250335264205932,0.12826841443777084,0.0981690114736557,0.03175235249102116,,,
4,0.0002,5e-05,5.988964042663574,1.3135756874084472,0.10450372636318207,0.0949855986237526,0.026905748620629312,,,
5,0.0002,5e-05,5.308029022216797,1.301789207458496,0.09078960239887238,0.09971746295690537,0.02463695712387562,0.6960101973787106,0.7629507217035496,0.7513086726120275
6,0.0002,5e-05,4.83651798248291,1.2892539024353027,0.08125468313694001,0.10580964773893356,0.022804874628782272,,,
7,0.0002,5e-05,4.546659278869629,1.2788095331192018,0.07533519953489304,0.11251892417669296,0.02212747894227505,,,
8,0.0002,5e-05,4.298708152770996,1.274583420753479,0.07035221606492996,0.11378096461296082,0.021348030716180803,,,
9,0.0002,5e-05,4.106109418869019,1.2722472620010377,0.06649826735258102,0.11290298402309418,0.020981362164020537,,,
10,0.0002,5e-05,3.9582901287078855,1.2710954427719117,0.06353578805923461,0.1134372428059578,0.020509428307414056,0.7117050893052644,0.7705226203221871,0.7879825850842287
11,0.0002,5e-05,3.8480116939544677,1.2698574590682983,0.06134282425045967,0.11451460570096969,0.020270668491721152,,,
12,0.0002,5e-05,3.715912914276123,1.2675776147842408,0.05867696985602379,0.11499799519777298,0.019690293818712234,,,
13,0.0002,5e-05,3.640044069290161,1.2642092657089234,0.057109578102827074,0.11719069212675094,0.01973016984760761,,,
14,0.0002,5e-05,3.565793762207031,1.2599051189422608,0.055587966740131375,0.11848445922136307,0.01941568396985531,,,
15,0.0002,5e-05,3.4736955642700194,1.2553378772735595,0.05363738372921944,0.11966800689697266,0.01885835163295269,0.7402014451499891,0.8017756775140515,0.8178187668337193
16,0.0001866666666666667,4.666666666666667e-05,3.3557997798919676,1.2482362270355225,0.0512477245926857,0.12056705415248871,0.01825694777071476,,,
17,0.00017333333333333334,4.3333333333333334e-05,3.2571673583984375,1.242594518661499,0.049210545420646665,0.12282642364501953,0.017531637400388718,,,
18,0.00016,4e-05,3.187852592468262,1.2379164695739746,0.04776299670338631,0.12489045202732087,0.01701676845550537,,,
19,0.0001466666666666667,3.666666666666667e-05,3.114920148849487,1.2316975164413453,0.04624851003289223,0.12759597420692445,0.01657819829881191,,,
20,0.00013333333333333337,3.333333333333334e-05,3.070913619995117,1.2264600849151612,0.0453070504963398,0.13087717950344085,0.016378300487995146,0.7173355438080641,0.7626346204360389,0.8266896175605212
21,0.00012,3e-05,3.0322849941253662,1.2218177032470703,0.04449336618185043,0.133649600148201,0.016124429553747176,,,
22,0.00010666666666666667,2.6666666666666667e-05,3.003433094024658,1.2168652248382568,0.04385555878281593,0.13680574536323548,0.015990194231271744,,,
23,9.333333333333334e-05,2.3333333333333336e-05,2.9773968982696535,1.2127634334564208,0.04328863054513931,0.1395763087272644,0.01581431746482849,,,
24,8e-05,2e-05,2.9493686962127685,1.2081867456436157,0.042684210538864134,0.14159818828105927,0.015680526681244374,,,
25,6.666666666666668e-05,1.666666666666667e-05,2.934997329711914,1.2048942756652832,0.04236371010541916,0.14418292045593262,0.01557895351201296,0.7188995589477306,0.7625947745224949,0.8214724616966598
26,5.333333333333335e-05,1.3333333333333337e-05,2.914145240783691,1.20193265914917,0.0419145119190216,0.14560190498828887,0.015476011633872987,,,
27,3.999999999999999e-05,9.999999999999997e-06,2.9015266704559326,1.1994754123687743,0.041646023392677305,0.14709555804729463,0.015390797965228558,,,
28,2.6666666666666663e-05,6.666666666666666e-06,2.8889805126190184,1.1979708003997802,0.041378928273916246,0.14793339431285857,0.015330816991627217,,,
29,1.3333333333333332e-05,3.333333333333333e-06,2.880311813354492,1.1969236469268798,0.04119731828570366,0.14867040514945984,0.015284335799515247,,,
30,0.0,0.0,2.878697519302368,1.1963977432250976,0.04115071326494217,0.14888274550437927,0.015263945758342744,0.7147627389033125,0.7572427838379268,0.819596225829442
