epoch,lr_g,lr_d,g,d,con,lat,freq,Acc,F1,AUC
1,0.0002,5e-05,35.81812286376953,1.4021209478378296,0.6984084844589233,0.8302351236343384,0.22104264795780182,0.43748901002285917,0.06434630008774495,0.14214268819562031
2,0.0002,5e-05,34.19789123535156,1.3885750770568848,0.6662854552268982,0.8149548768997192,0.19911006093025208,,,
3,0.0002,5e-05,32.74357604980469,1.3808540105819702,0.6374970078468323,0.7799723148345947,0.17948636412620544,,,
4,0.0002,5e-05,31.34836196899414,1.3764026165008545,0.6098527312278748,0.7532957196235657,0.16378739476203918,,,
5,0.0002,5e-05,30.07141876220703,1.369929313659668,0.584426760673523,0.7264587879180908,0.15246731042861938,0.4350272551433093,0.05193272351726173,0.1114119290381
6,0.0002,5e-05,28.857423782348633,1.3626803159713745,0.5602226257324219,0.6967719197273254,0.14300133287906647,,,
7,0.0002,5e-05,27.669164657592773,1.358780860900879,0.53656005859375,0.6644115447998047,0.13490760326385498,,,
8,0.0002,5e-05,26.487966537475586,1.3556915521621704,0.5130768418312073,0.6295911073684692,0.12807825207710266,,,
9,0.0002,5e-05,25.39373779296875,1.349656581878662,0.491229385137558,0.596464991569519,0.1210913211107254,,,
10,0.0002,5e-05,24.310508728027344,1.3468008041381836,0.4696439504623413,0.5645937323570251,0.11499826610088348,0.43397221733778796,0.04847768253029855,0.09897032459912372
11,0.0002,5e-05,23.27168083190918,1.3419480323791504,0.4489153325557709,0.5346066951751709,0.1084149107336998,,,
12,0.0002,5e-05,22.313392639160156,1.3368213176727295,0.4297826290130615,0.5112780928611755,0.10304217785596848,,,
13,0.0002,5e-05,21.38627052307129,1.3326963186264038,0.41129928827285767,0.4883134663105011,0.09807908535003662,,,
14,0.0002,5e-05,20.485389709472656,1.3290914297103882,0.39330634474754333,0.47103169560432434,0.0939830094575882,,,
15,0.0002,5e-05,19.641557693481445,1.3255853652954102,0.37644314765930176,0.45152443647384644,0.09003856778144836,0.4206084051345173,0.0006066120715802244,0.04251595282471078
16,0.0001866666666666667,4.666666666666667e-05,18.808704376220703,1.3239295482635498,0.3598489761352539,0.43642860651016235,0.08578352630138397,,,
17,0.00017333333333333334,4.3333333333333334e-05,18.10376739501953,1.3208286762237549,0.34572672843933105,0.4256320595741272,0.08387739956378937,,,
18,0.00016,4e-05,17.4453067779541,1.3182508945465088,0.33259129524230957,0.4118267595767975,0.0815977081656456,,,
19,0.0001466666666666667,3.666666666666667e-05,16.90471076965332,1.3168249130249023,0.32181665301322937,0.401913046836853,0.07907673716545105,,,
20,0.00013333333333333337,3.333333333333334e-05,16.384010314941406,1.316749095916748,0.31144165992736816,0.3943851888179779,0.07781752198934555,0.5795674344997362,0.7338305688522766,0.13838580558973174
21,0.00012,3e-05,15.946849822998047,1.3155282735824585,0.30273813009262085,0.38899660110473633,0.07578611373901367,,,
22,0.00010666666666666667,2.6666666666666667e-05,15.587377548217773,1.3140665292739868,0.2955525815486908,0.38300323486328125,0.07437454909086227,,,
23,9.333333333333334e-05,2.3333333333333336e-05,15.251121520996094,1.3111599683761597,0.2888421416282654,0.37687447667121887,0.07264555990695953,,,
24,8e-05,2e-05,14.950200080871582,1.3092410564422607,0.28282275795936584,0.371959388256073,0.07158708572387695,,,
25,6.666666666666668e-05,1.666666666666667e-05,14.721383094787598,1.30747389793396,0.27824485301971436,0.368202805519104,0.07086688280105591,0.5640935466854229,0.49644525695714,0.36562841338677
26,5.333333333333335e-05,1.3333333333333337e-05,14.529165267944336,1.3062127828598022,0.27439579367637634,0.36436158418655396,0.07002072036266327,,,
27,3.999999999999999e-05,9.999999999999997e-06,14.379251480102539,1.3059073686599731,0.2714146375656128,0.3607766628265381,0.06929978728294373,,,
28,2.6666666666666663e-05,6.666666666666666e-06,14.28186321258545,1.3034605979919434,0.26945769786834717,0.35790884494781494,0.06872823089361191,,,
29,1.3333333333333332e-05,3.333333333333333e-06,14.212276458740234,1.3040003776550293,0.26807233691215515,0.35939788818359375,0.0690523311495781,,,
30,0.0,0.0,14.165717124938965,1.3036473989486694,0.26715052127838135,0.35795027017593384,0.06885598599910736,0.7654299279057499,0.7812397507379469,0.6391076924794842
