epoch,lr_g,lr_d,g,d,con,lat,freq,Acc,F1,AUC
1,0.0002,5e-05,37.87116792466905,1.3622747725910611,0.7327926953633627,0.5160929527547624,0.0,0.4510639848418598,0.00985869208018403,0.36039144288759184
2,0.0002,5e-05,19.370651245117188,1.3229222628805373,0.3654079619381163,0.3601314061217838,0.0,,,
3,0.0002,5e-05,11.285647657182482,1.2878319356176589,0.2039042537411054,0.32648716039127773,0.0,,,
4,0.0002,5e-05,7.877349297205607,1.2499923441145155,0.13559959539108807,0.31035344633791184,0.0,,,
5,0.0002,5e-05,6.137424389521281,1.2142351335949368,0.1005291880832778,0.30345109436247086,0.0,0.7806806587960938,0.8007679322101221,0.8594688473325003
6,0.0002,5e-05,5.1736405160692005,1.1817560990651448,0.08069333144360119,0.30918876164489323,0.0,,,
7,0.0002,5e-05,4.543301184972127,1.1572786238458421,0.06770613044500351,0.30666562418142956,0.0,,,
8,0.0002,5e-05,4.106416437360975,1.141789714495341,0.05884161591529846,0.29698968927065533,0.0,,,
9,0.0002,5e-05,3.748697598775228,1.1343686779340107,0.051873608802755676,0.28177520467175377,0.0,,,
10,0.0002,5e-05,3.479509539074368,1.1302578780386183,0.04655325019525157,0.2717822988828023,0.0,0.8537020842442793,0.8700016189088555,0.9177633793097173
11,0.0002,5e-05,3.2582091093063354,1.131571736600664,0.04239718843665388,0.2579960516757435,0.0,,,
12,0.0002,5e-05,3.090092976888021,1.137021197213067,0.039334103051159114,0.2470527614156405,0.0,,,
13,0.0002,5e-05,2.92072496149275,1.1569546593560114,0.03650824104746183,0.22792496697770226,0.0,,,
14,0.0002,5e-05,2.7908368243111505,1.1706596944067214,0.034479907196429044,0.21441330595148933,0.0,,,
15,0.0002,5e-05,2.646901342603895,1.1852203143967524,0.03218565550115374,0.1973548581202825,0.0,0.8535563328960792,0.8676000658870038,0.9134050629341355
16,0.0001866666666666667,4.666666666666667e-05,2.5272813902960882,1.1982483598921034,0.030282779079344537,0.18439367247952354,0.0,,,
17,0.00017333333333333334,4.3333333333333334e-05,2.429452074898614,1.2125275664859347,0.028774048201739788,0.1723825004365709,0.0,,,
18,0.00016,4e-05,2.338241948021783,1.218238115310669,0.02720770953843991,0.16333522482050788,0.0,,,
19,0.0001466666666666667,3.666666666666667e-05,2.2585502465566,1.2237702475653753,0.025823333093689546,0.15741942491796282,0.0,,,
20,0.00013333333333333337,3.333333333333334e-05,2.2024288839764066,1.2275488376617432,0.02483326227714618,0.15390443222390282,0.0,0.8542850896370792,0.8687949079694216,0.915494763115478
21,0.00012,3e-05,2.150473329755995,1.229347911145952,0.023886115704145696,0.15229281369182798,0.0,,,
22,0.00010666666666666667,2.6666666666666667e-05,2.1098237567477756,1.2322653664482965,0.023169257678091526,0.14866280969646242,0.0,,,
23,9.333333333333334e-05,2.3333333333333336e-05,2.0695137447781033,1.2330351803037856,0.022429368044767115,0.1470067161652777,0.0,,,
24,8e-05,2e-05,2.034848544332716,1.2337999211417303,0.021810173160499997,0.14511038611332575,0.0,,,
25,6.666666666666668e-05,1.666666666666667e-05,2.0110248062345715,1.2344615326987372,0.02137031230247683,0.14359352654880947,0.0,0.854904532866929,0.8691250903832248,0.9167329769701399
26,5.333333333333335e-05,1.3333333333333337e-05,1.9904672569698758,1.23547277185652,0.0210117150305046,0.1426242267092069,0.0,,,
27,3.999999999999999e-05,9.999999999999997e-06,1.975603116883172,1.2364185452461243,0.020751039394074015,0.1415936036242379,0.0,,,
28,2.6666666666666663e-05,6.666666666666666e-06,1.9625753164291382,1.2359621326128643,0.020508562525113423,0.14076674646801418,0.0,,,
29,1.3333333333333332e-05,3.333333333333333e-06,1.9534937408235338,1.2358455657958984,0.020345651337669954,0.13993260347180897,0.0,,,
30,0.0,0.0,1.9530186123318143,1.2368930909368727,0.020343637714783352,0.13912972393963072,0.0,0.8574551814604285,0.8724569640062598,0.9189745542719884
