"dataset","name","method","out_dir","epoch","Threshold","Acc","Prec","Rec","FAR","F1","AUC","seconds","train_size","test_size"
"unsw","UNSW-NB15","IF","outputs\comparison_30_bs256\20260606_181541\unsw\if","0","0.2157926581894922","0.8225477335665355","0.8267611026033691","0.8573980942297512","0.22015893610120013","0.8418009355509357","0.8928412850178071","40.2197322845459","18666","27444"
"unsw","UNSW-NB15","VAE","outputs\comparison_30_bs256\20260606_181541\unsw\vae","10","0.33937064792497124","0.8470703979011805","0.8453021195824106","0.884065643197459","0.19826467726240674","0.864249442054533","0.909944471054659","478.02457451820374","18666","27444"
"unsw","UNSW-NB15","f-AnoGAN","outputs\comparison_30_bs256\20260606_181541\unsw\f-anogan","30","0.3855786325009594","0.8422241655735315","0.8843576215599601","0.8208046585494971","0.13152773272786247","0.8513968014276889","0.9186351756597553","498.43360328674316","18666","27444"
"unsw","UNSW-NB15","BiGAN","outputs/comparison_30_remote/20260606_185549/unsw/bigan","5","0.4999435321190287","0.7867657775834427","0.7784459947077219","0.8565378507146638","0.29873499837820305","0.8156269691241336","0.8227279721511107","541.0339150428772","18666","27444"
"unsw","UNSW-NB15","MTS-DVGAN","outputs/comparison_30_remote_fast/20260606_190703/unsw/mts-dvgan","10","0.3911117655769349","0.7639921294271972","0.7738314200545443","0.8073716251985177","0.28916639636717484","0.7902457981152239","0.8289670181533082","188.68886280059814","18666","27444"
"cic","CIC-IDS2017","IF","outputs/comparison_30_remote_fast/20260606_191017/cic/if","0","0.3398565514939952","0.8547733742062623","0.8698307252715514","0.93406885550977","0.33561170212765956","0.9008060079372286","0.8939187954516316","165.03153729438782","102592","127876"
"cic","CIC-IDS2017","VAE","outputs/comparison_30_remote_fast/20260606_191017/cic/vae","5","0.49418460325335545","0.6787043698583002","0.9793599438684026","0.5566152687314457","0.028164893617021278","0.7098118431461182","0.8510415299700305","1577.2440721988678","102592","127876"
"cic","CIC-IDS2017","f-AnoGAN","outputs/comparison_30_remote_fast/20260606_191017/cic/f-anogan","30","0.1908949204828215","0.7464887860114486","0.9789728136693268","0.6549692055474323","0.03377659574468085","0.7848467552464261","0.8556094457493473","1534.3892879486084","102592","127876"
"cic","CIC-IDS2017","BiGAN","outputs/comparison_30_remote_fast/20260606_191017/cic/bigan","1","0.5395307209386594","0.8286465012981326","0.9267096097670586","0.8223115778279941","0.1561436170212766","0.8713948656548227","0.8958131561438538","1529.6951847076416","102592","127876"
"cic","CIC-IDS2017","MTS-DVGAN","outputs/comparison_30_remote_fast/20260606_191017/cic/mts-dvgan","5","0.3068319540225387","0.8223435202852764","0.8767370792531953","0.8707740706278524","0.29393617021276597","0.8737454011937444","0.8886859222733499","1624.6058382987976","102592","127876"
"toniot","TON_IoT","IF","outputs/comparison_30_remote_fast/20260606_205742/toniot/if","0","0.3708868214733888","0.9454897133813962","0.9342641070389761","0.9745145631067961","0.0945211208699289","0.953964953964954","0.9523175246575953","4.111719608306885","5581","5687"
"toniot","TON_IoT","VAE","outputs/comparison_30_remote_fast/20260606_205742/toniot/vae","30","0.19461145541976496","0.7900474767012484","0.8294670846394985","0.8027912621359223","0.22751986616478462","0.8159111933395006","0.8536731848395887","60.758246660232544","5581","5687"
"toniot","TON_IoT","f-AnoGAN","outputs/comparison_30_remote_fast/20260606_205742/toniot/f-anogan","15","0.08664747174530986","0.9182345700720943","0.8837083220384928","0.9890776699029126","0.1794228356336261","0.933428775948461","0.9079768691655196","60.40538215637207","5581","5687"
"toniot","TON_IoT","BiGAN","outputs/comparison_30_remote_fast/20260606_205742/toniot/bigan","30","0.541088038735017","0.6623879022331634","0.8323671497584542","0.522754854368932","0.1451275616896696","0.6421915765933657","0.524674091353904","60.07397484779358","5581","5687"
"toniot","TON_IoT","MTS-DVGAN","outputs/comparison_30_remote_fast/20260606_205742/toniot/mts-dvgan","30","0.15620469421854918","0.8232811675751714","0.8478590950501063","0.8470873786407767","0.2095357590966123","0.8474730611625437","0.8578361208902316","59.43289852142334","5581","5687"
