epoch,lr_g,lr_d,g,d,rec,Acc,F1,AUC
1,0.0002,5e-05,30.727792421976726,1.3085226913293202,0.5863791861467891,0.5686124471651363,0.4864442805708585,0.6156573355962366
2,0.0002,5e-05,13.588367409176296,1.116976175043318,0.2413540401806434,,,
3,0.0002,5e-05,8.412954396671719,0.8696687552664015,0.13661550916731358,,,
4,0.0002,5e-05,6.476365334457821,0.6093523767259386,0.09585972192386787,,,
5,0.0002,5e-05,5.476578911145528,0.38699284485644764,0.07408322011017138,0.7867657775834427,0.8156269691241336,0.8227279721511107
6,0.0002,5e-05,5.265962170230018,0.22847838844690058,0.062483618708534375,,,
7,0.0002,5e-05,5.141804609033796,0.1538197101197309,0.054885851529737316,,,
8,0.0002,5e-05,4.917675528261396,0.14003591291192505,0.049674023460182876,,,
9,0.0002,5e-05,4.705112987094456,0.14827871840033266,0.04624461320539316,,,
10,0.0002,5e-05,4.663707832495372,0.13657105341553688,0.04363713894660274,0.7282466112811543,0.7428985107556535,0.7940152279779463
11,0.0002,5e-05,4.648389392428928,0.12001773497710626,0.04168734404568871,,,
12,0.0002,5e-05,4.699741025765737,0.10910805614872111,0.039870728065984115,,,
13,0.0002,5e-05,4.69623656405343,0.09974230111887057,0.038669629539880485,,,
14,0.0002,5e-05,4.605654524432288,0.14905121994929182,0.04238630448364549,,,
15,0.0002,5e-05,4.546476549572414,0.13765679693056476,0.045478413657595716,0.7710610698148957,0.7904618976154745,0.8162078858653312
16,0.0001866666666666667,4.666666666666667e-05,4.466326389047834,0.10771628650319245,0.0375068080611527,,,
17,0.00017333333333333334,4.3333333333333334e-05,4.631350027190314,0.09012932382110092,0.035927834972325295,,,
18,0.00016,4e-05,4.748007032606337,0.07153029165541132,0.03527487669554022,,,
19,0.0001466666666666667,3.666666666666667e-05,4.900580604871114,0.05957485016228424,0.03453951815350188,,,
20,0.00013333333333333337,3.333333333333334e-05,5.033390429284838,0.05121450193433298,0.033606082666665316,0.729886313948404,0.725840452679463,0.7719787560482552
21,0.00012,3e-05,5.181189073456658,0.044204353717052274,0.033443002651135124,,,
22,0.00010666666666666667,2.6666666666666667e-05,5.280162764920129,0.040068469682915345,0.032919490761640996,,,
23,9.333333333333334e-05,2.3333333333333336e-05,5.369886020819346,0.03597289722205864,0.03243324672803283,,,
24,8e-05,2e-05,5.453890475961897,0.03442303789779544,0.03212544311665826,,,
25,6.666666666666668e-05,1.666666666666667e-05,5.515023152033488,0.031690686837666564,0.0318003352990167,0.7260603410581548,0.7400235147658897,0.7630902446938737
26,5.333333333333335e-05,1.3333333333333337e-05,5.594661520587073,0.03093797462578449,0.03159588546906081,,,
27,3.999999999999999e-05,9.999999999999997e-06,5.615882754325867,0.02852507033902738,0.03135771870923539,,,
28,2.6666666666666663e-05,6.666666666666666e-06,5.655907246801588,0.027258462117364008,0.03122029031833841,,,
29,1.3333333333333332e-05,3.333333333333333e-06,5.664428061909145,0.026128755546071462,0.031148760941707425,,,
30,0.0,0.0,5.687810546822018,0.026166096691870026,0.031083215985240206,0.7279551085847544,0.7448393711551606,0.7623390609065888
