epoch,lr_g,lr_d,g,d,rec,kl,Acc,F1,AUC
1,0.0002,5e-05,42.5601749420166,1.3692570593621995,0.8373250265916189,0.08820583174626033,0.5639848418597873,0.6910564907569968,0.4680991133861867
2,0.0002,5e-05,32.423126962449814,1.3398712873458862,0.6344466805458069,0.23724888844622505,,,
3,0.0002,5e-05,24.678307215372723,1.3167266448338826,0.47935134338008034,0.3873117185301251,,,
4,0.0002,5e-05,19.588185628255207,1.2998007999526129,0.3773996714088652,0.466912556025717,,,
5,0.0002,5e-05,16.068515883551704,1.2827762497795954,0.30683192279603744,0.5200832784175873,0.635293688966623,0.7220571492044097,0.6275311225753963
6,0.0002,5e-05,13.512173016866049,1.2647871375083923,0.25559251921044457,0.5757698880301582,,,
7,0.0002,5e-05,11.59991561041938,1.2532340420616999,0.21728683759768805,0.6512676676114401,,,
8,0.0002,5e-05,10.13613478342692,1.2401025825076633,0.1878948998120096,0.7096180948946211,,,
9,0.0002,5e-05,8.995140075683594,1.2314070132043626,0.16501274125443566,0.7560559180047777,,,
10,0.0002,5e-05,8.102426211039225,1.2234634160995483,0.1471388108200497,0.7997728851106432,0.7639921294271972,0.7902457981152239,0.8289670181533082
11,0.0002,5e-05,7.3791465229458275,1.214704606268141,0.13260365939802593,0.8408264219760895,,,
12,0.0002,5e-05,6.795088688532512,1.2073472208446927,0.12084992933604452,0.8700994650522867,,,
13,0.0002,5e-05,6.308601591322157,1.195470154285431,0.11097256425354216,0.8930475910504659,,,
14,0.0002,5e-05,5.909360647201538,1.1805794570181105,0.10276389039225048,0.9123478200700548,,,
15,0.0002,5e-05,5.575978093677097,1.1738710204760234,0.09601218667295244,0.9441787401835123,0.7429310596123014,0.7734643419066886,0.8004431706121806
16,0.0001866666666666667,4.666666666666667e-05,5.30214802424113,1.1617905961142645,0.09036506712436676,0.9682557814651065,,,
17,0.00017333333333333334,4.3333333333333334e-05,5.080007606082493,1.1504080096880596,0.0857661482360628,0.9879570404688517,,,
18,0.00016,4e-05,4.902309762107001,1.1370866828494601,0.08199428808357981,1.008925351831648,,,
19,0.0001466666666666667,3.666666666666667e-05,4.755186769697401,1.1276928981145222,0.0789171312418249,1.0138314962387085,,,
20,0.00013333333333333337,3.333333333333334e-05,4.637006335788303,1.1131027340888977,0.07632248765892452,1.0355644424756367,0.7596195889811981,0.7951178608031305,0.8250170378827384
21,0.00012,3e-05,4.53902808825175,1.1043530238999262,0.07421487776769532,1.0526840554343329,,,
22,0.00010666666666666667,2.6666666666666667e-05,4.45365834236145,1.09483230776257,0.07240759539935324,1.064303331904941,,,
23,9.333333333333334e-05,2.3333333333333336e-05,4.382019890679254,1.0924378236134846,0.07097743865516451,1.0714381866984897,,,
24,8e-05,2e-05,4.328245719273885,1.0822120441330805,0.06973655770222346,1.0888060794936285,,,
25,6.666666666666668e-05,1.666666666666667e-05,4.287101083331638,1.0725335545010037,0.06873701223068768,1.1015816926956177,0.75,0.7680135249366018,0.8275488097349715
26,5.333333333333335e-05,1.3333333333333337e-05,4.252118190129598,1.0646965172555711,0.06790355841318767,1.101379440890418,,,
27,3.999999999999999e-05,9.999999999999997e-06,4.224809355205959,1.0605444113413494,0.06731339337097274,1.0994358327653673,,,
28,2.6666666666666663e-05,6.666666666666666e-06,4.205248832702637,1.0602130227618747,0.06696391271220313,1.1001474393738642,,,
29,1.3333333333333332e-05,3.333333333333333e-06,4.193942334916857,1.0592575603061252,0.06673059819473161,1.1046037806404962,,,
30,0.0,0.0,4.1887192196316185,1.058552298280928,0.06662594485614035,1.107255948914422,0.7557936160909489,0.7737492404294106,0.8264204846434116
