epoch,lr_g,lr_d,g,d,rec,kl,Acc,F1,AUC
1,0.0002,5e-05,18.39922614097595,1.2890280902385711,0.3527957335114479,0.5929781659319997,0.8207951452970065,0.8741363211951447,0.852225643075184
2,0.0002,5e-05,11.408763704299927,1.205800074338913,0.21178374707698822,1.7424737453460692,,,
3,0.0002,5e-05,9.07159987449646,1.1870414483547211,0.16455006763339042,2.647532036304474,,,
4,0.0002,5e-05,7.819674282073975,1.1956113970279694,0.13940074160695076,3.350956449508667,,,
5,0.0002,5e-05,7.093164424896241,1.1844038665294647,0.12461766347289085,3.824606702327728,0.8223435202852764,0.8737454011937444,0.8886859222733499
6,0.0002,5e-05,6.574051513671875,1.1597728097438813,0.11378679357469082,4.234041948318481,,,
7,0.0002,5e-05,6.22183620929718,1.177488067150116,0.10676624871790409,4.576682348251342,,,
8,0.0002,5e-05,5.8805903053283695,1.1903813838958741,0.10007126718759536,4.8745121717453,,,
9,0.0002,5e-05,5.6066623973846434,1.2036748433113098,0.09466192252933979,5.15599944114685,,,
10,0.0002,5e-05,5.358959770202636,1.216690069437027,0.08990362651646137,5.37164840221405,0.6799477618943351,0.7094717862441525,0.8264363413781661
11,0.0002,5e-05,5.172681369781494,1.218721388578415,0.08613632313907146,5.563486981391907,,,
12,0.0002,5e-05,4.9775529384613035,1.2182880282402038,0.08214652813971042,5.733879928588867,,,
13,0.0002,5e-05,4.813654656410217,1.2214965343475341,0.0788652678579092,5.908793659210205,,,
14,0.0002,5e-05,4.644124450683594,1.224202516078949,0.07546356283128261,6.06628981590271,,,
15,0.0002,5e-05,4.5110073041915895,1.2362707877159118,0.07288983397185803,6.21971287727356,0.6810191122650068,0.7092575697097565,0.8106917250455576
16,0.0001866666666666667,4.666666666666667e-05,4.3436199569702145,1.2479143035411835,0.06969492338597774,6.361847429275513,,,
17,0.00017333333333333334,4.3333333333333334e-05,4.190223031044006,1.2607873368263245,0.06683733150362968,6.493511505126953,,,
18,0.00016,4e-05,4.055428574085235,1.2600911259651184,0.0641077072173357,6.62081814289093,,,
19,0.0001466666666666667,3.666666666666667e-05,3.972887337207794,1.2606872582435609,0.06244756828993559,6.735120048522949,,,
20,0.00013333333333333337,3.333333333333334e-05,3.8766137170791626,1.2783672308921814,0.06075238022953272,6.832910614013672,0.7396462197754075,0.7830297500733162,0.8679742038717201
21,0.00012,3e-05,3.7865700769424437,1.2710094332695008,0.05882439661771059,6.91669457912445,,,
22,0.00010666666666666667,2.6666666666666667e-05,3.724921760559082,1.266289633512497,0.05752815302461386,6.990991425514221,,,
23,9.333333333333334e-05,2.3333333333333336e-05,3.6717031836509704,1.2608869516849517,0.056381344720721246,7.053666615486145,,,
24,8e-05,2e-05,3.63658625125885,1.2529907059669494,0.05554928231984377,7.110719633102417,,,
25,6.666666666666668e-05,1.666666666666667e-05,3.599486281871796,1.2438921189308167,0.054679331742227076,7.160059041976929,0.7529794488410648,0.7955045705259342,0.859299992729153
26,5.333333333333335e-05,1.3333333333333337e-05,3.564452633857727,1.2480209076404571,0.05408222191035748,7.20120897769928,,,
27,3.999999999999999e-05,9.999999999999997e-06,3.5164074754714965,1.2762834417819977,0.053596467450261115,7.237564492225647,,,
28,2.6666666666666663e-05,6.666666666666666e-06,3.4855613327026367,1.275426241159439,0.05293599519878626,7.261841559410096,,,
29,1.3333333333333332e-05,3.333333333333333e-06,3.464177532196045,1.2751650094985962,0.05250647198408842,7.277066979408264,,,
30,0.0,0.0,3.4626576495170593,1.2716909396648406,0.052317907251417634,7.282488074302673,0.7248897369326535,0.7638545806035871,0.8728307678556446
