epoch,lr_g,lr_d,g,d,rec,Acc,F1,AUC
1,0.0002,5e-05,35.85810165405273,1.3795380592346191,0.6894104838371277,0.46439247406365397,0.1453423120089787,0.1713171206344179
2,0.0002,5e-05,32.64258460998535,1.3678099155426025,0.6251049757003784,,,
3,0.0002,5e-05,29.83699722290039,1.3584492683410645,0.5690320611000061,,,
4,0.0002,5e-05,27.349245834350587,1.3493990421295166,0.519331693649292,,,
5,0.0002,5e-05,25.182915496826173,1.3407451391220093,0.4759920060634613,0.4649199929664146,0.17377138202552267,0.16091644232213845
6,0.0002,5e-05,23.255279541015625,1.3314486742019653,0.4374124348163605,,,
7,0.0002,5e-05,21.553868103027344,1.3218987941741944,0.4034310460090637,,,
8,0.0002,5e-05,20.13771324157715,1.3116222381591798,0.37500600814819335,,,
9,0.0002,5e-05,18.830477905273437,1.3016066789627074,0.3488473653793335,,,
10,0.0002,5e-05,17.68867301940918,1.2914417505264282,0.3259958803653717,0.5447511869175312,0.40930869267624914,0.2872891567488113
11,0.0002,5e-05,16.681367111206054,1.280168604850769,0.3058732390403748,,,
12,0.0002,5e-05,15.814996910095214,1.268782615661621,0.28852081298828125,,,
13,0.0002,5e-05,15.04509105682373,1.257762861251831,0.2731053829193115,,,
14,0.0002,5e-05,14.417794799804687,1.2466044187545777,0.2603294312953949,,,
15,0.0002,5e-05,13.78619155883789,1.2338565111160278,0.24767380058765412,0.5704237735185511,0.4816465096541481,0.3605884018954575
16,0.0001866666666666667,4.666666666666667e-05,13.220178985595703,1.2218438625335692,0.23655385971069337,,,
17,0.00017333333333333334,4.3333333333333334e-05,12.798046493530274,1.210833740234375,0.22798990309238434,,,
18,0.00016,4e-05,12.392743873596192,1.199281668663025,0.21986792385578155,,,
19,0.0001466666666666667,3.666666666666667e-05,12.0459379196167,1.189509677886963,0.213047793507576,,,
20,0.00013333333333333337,3.333333333333334e-05,11.787157440185547,1.17987380027771,0.20754653513431548,0.5067698259187621,0.3556168159889731,0.29704877818518477
21,0.00012,3e-05,11.494055557250977,1.1711579322814942,0.20208065509796141,,,
22,0.00010666666666666667,2.6666666666666667e-05,11.296905708312988,1.1641388893127442,0.1980937123298645,,,
23,9.333333333333334e-05,2.3333333333333336e-05,11.111585807800292,1.1570705890655517,0.19435640275478364,,,
24,8e-05,2e-05,10.960328102111816,1.1507717609405517,0.19144860208034514,,,
25,6.666666666666668e-05,1.666666666666667e-05,10.83156795501709,1.1446924448013305,0.18875117003917694,0.5667311411992263,0.48494983277591974,0.40672178334612397
26,5.333333333333335e-05,1.3333333333333337e-05,10.720494651794434,1.1411216259002686,0.18670408427715302,,,
27,3.999999999999999e-05,9.999999999999997e-06,10.638373374938965,1.1379299402236938,0.18506302833557128,,,
28,2.6666666666666663e-05,6.666666666666666e-06,10.581660842895507,1.1351372957229615,0.1839398682117462,,,
29,1.3333333333333332e-05,3.333333333333333e-06,10.555434799194336,1.1345749139785766,0.18339751660823822,,,
30,0.0,0.0,10.530181121826171,1.1338220596313477,0.1829606920480728,0.6623879022331634,0.6421915765933657,0.524674091353904
